number,temperature,pressure,acceleration
190,23.75,1010.24,"[9.68897, -0.392266, -0.0784532]"
191,23.25,1010.49,"[9.57129, -0.0784532, -0.156906]"
192,23.75,1010.24,"[9.8851, -0.431492, 0.0]"
193,23.25,1010.49,"[9.64974, -0.11768, -0.0784532]"
194,23.75,1010.25,"[9.76742, -0.431492, -0.11768]"
195,23.25,1010.49,"[9.45361, 0.0, -0.274586]"
196,23.75,1010.24,"[9.76742, -0.470719, -0.0784532]"
197,23.25,1010.49,"[9.57129, -0.0392266, -0.274586]"
198,23.75,1010.24,"[9.80664, -0.392266, -0.0784532]"
199,23.25,1010.49,"[9.53206, -0.0784532, -0.156906]"
200,23.75,1010.24,"[9.76742, -0.353039, -0.0784532]"
201,23.25,1010.49,"[9.49284, -0.0784532, -0.23536]"
202,23.6875,1010.24,"[9.7282, -0.470719, -0.0392266]"
203,23.25,1010.49,"[9.57129, -0.0784532, -0.196133]"
204,23.75,1010.25,"[9.80664, -0.392266, -0.196133]"
205,23.25,1010.49,"[9.57129, -0.156906, -0.23536]"
206,23.6875,1010.24,"[9.8851, -0.392266, -0.0784532]"
207,23.25,1010.49,"[9.53206, -0.11768, -0.196133]"
208,23.6875,1010.24,"[9.76742, -0.431492, -0.11768]"
209,23.25,1010.49,"[9.53206, -0.0392266, -0.313813]"
210,23.6875,1010.25,"[9.76742, -0.392266, 0.0392266]"
211,23.25,1010.49,"[9.45361, -0.0784532, -0.23536]"
212,23.75,1010.25,"[9.76742, -0.509946, -0.0392266]"
213,23.25,1010.49,"[9.49284, -0.0784532, -0.23536]"
214,23.6875,1010.24,"[9.76742, -0.431492, -0.0784532]"
215,23.25,1010.49,"[9.57129, -0.0784532, -0.196133]"
216,23.75,1010.24,"[9.80664, -0.509946, -0.0784532]"
217,23.3125,1010.49,"[9.57129, -0.0392266, -0.156906]"
218,23.6875,1010.25,"[9.68897, -0.353039, 0.23536]"
219,23.1875,1010.49,"[9.53206, -0.0392266, -0.313813]"
220,23.6875,1010.24,"[9.80664, -0.353039, -0.0784532]"
221,23.1875,1010.49,"[9.53206, -0.156906, -0.23536]"
222,23.6875,1010.25,"[9.7282, -0.470719, -0.0784532]"
223,23.25,1010.49,"[9.53206, -0.0392266, -0.196133]"
224,23.6875,1010.24,"[9.7282, -0.392266, -0.11768]"
225,23.25,1010.49,"[9.41438, -0.11768, -0.0392266]"
226,23.625,1010.24,"[9.76742, -0.509946, -0.11768]"
227,23.25,1010.49,"[9.57129, -0.156906, -0.11768]"
228,23.625,1010.24,"[9.76742, -0.470719, -0.0784532]"
229,23.25,1010.49,"[9.53206, -0.0784532, -0.156906]"
230,23.625,1010.24,"[9.80664, -0.431492, 0.0392266]"
231,23.25,1010.49,"[9.53206, -0.0784532, -0.274586]"
232,23.625,1010.25,"[9.76742, -0.470719, -0.196133]"
233,23.25,1010.49,"[9.53206, -0.0392266, -0.353039]"
234,23.625,1010.24,"[9.76742, -0.470719, -0.0784532]"
235,23.25,1010.49,"[9.57129, -0.11768, -0.156906]"
236,23.625,1010.25,"[9.80664, -0.431492, -0.0392266]"
237,23.25,1010.49,"[9.57129, -0.11768, -0.196133]"
238,23.625,1010.25,"[9.64974, -0.470719, -0.0784532]"
239,23.1875,1010.49,"[9.53206, -0.0784532, -0.196133]"
240,23.625,1010.24,"[9.76742, -0.509946, -0.0784532]"
241,23.25,1010.49,"[9.49284, -0.11768, -0.196133]"
242,23.5625,1010.24,"[9.7282, -0.509946, -0.11768]"
243,23.1875,1010.49,"[9.57129, -0.11768, -0.156906]"
244,23.625,1010.25,"[9.68897, -0.431492, -0.0784532]"
245,23.25,1010.49,"[9.49284, -0.0392266, -0.196133]"
246,23.5625,1010.24,"[9.76742, -0.392266, -0.0392266]"
247,23.25,1010.49,"[9.45361, -0.0784532, -0.196133]"
248,23.625,1010.24,"[9.80664, -0.431492, -0.0784532]"
249,23.25,1010.49,"[9.49284, -0.0784532, -0.196133]"
250,23.625,1010.25,"[9.76742, -0.509946, -0.0784532]"
251,23.1875,1010.49,"[9.53206, -0.11768, -0.196133]"
252,23.625,1010.24,"[9.8851, -0.431492, -0.0784532]"
253,23.1875,1010.49,"[9.45361, -0.0784532, -0.11768]"
254,23.625,1010.24,"[9.80664, -0.353039, 0.0]"
255,23.1875,1010.48,"[9.49284, -0.156906, -0.196133]"
256,23.5625,1010.23,"[9.7282, -0.392266, -0.0784532]"
257,23.25,1010.48,"[9.45361, -0.11768, -0.196133]"
258,23.625,1010.23,"[9.7282, -0.627625, -0.0392266]"
259,23.1875,1010.48,"[9.49284, -0.11768, -0.196133]"
260,23.5625,1010.23,"[9.7282, -0.313813, -0.0392266]"
261,23.1875,1010.48,"[9.45361, -0.0784532, -0.196133]"
262,23.625,1010.23,"[9.80664, -0.509946, -0.0784532]"
263,23.1875,1010.48,"[9.53206, -0.11768, -0.23536]"
264,23.625,1010.23,"[9.80664, -0.509946, -0.0392266]"
265,23.25,1010.48,"[9.57129, -0.0784532, -0.156906]"
266,23.1875,1010.53,"[9.61051, -0.0392266, -0.156906]"
267,23.1875,1010.54,"[9.57129, -0.11768, -0.23536]"
268,23.625,1010.28,"[9.68897, -0.431492, -0.0784532]"
269,23.625,1010.29,"[9.68897, -0.470719, -0.0784532]"
270,23.1875,1010.54,"[9.57129, -0.11768, -0.23536]"
271,23.625,1010.29,"[9.64974, -0.431492, -0.196133]"
272,23.25,1010.53,"[9.57129, -0.11768, -0.274586]"
273,23.625,1010.29,"[9.84587, -0.509946, -0.156906]"
274,23.625,1010.28,"[9.76742, -0.353039, -0.0392266]"
275,23.625,1010.26,"[9.68897, -0.470719, -0.156906]"
276,23.25,1010.49,"[9.53206, -0.0392266, -0.431492]"
277,23.625,1010.25,"[9.7282, -0.431492, -0.11768]"
278,23.25,1010.49,"[9.53206, -0.0392266, -0.274586]"
279,23.5625,1010.25,"[9.80664, -0.392266, -0.11768]"
