time,acc_x,acc_y,acc_z
1702042203813.73,-0.549,-0.039,9.101
1702042203813.745,-0.667,-0.078,9.061
1702042203813.76,-0.628,0.0,9.14
1702042203813.775,-0.667,-0.118,9.101
1702042203813.79,-0.745,0.039,9.101
1702042203813.805,-0.706,-0.039,9.101
1702042203813.82,-0.588,-0.039,9.061
1702042203813.835,-0.628,-0.039,9.101
1702042203813.85,-0.628,0.0,9.061
1702042203813.865,-0.706,-0.078,9.101
1702042203813.88,-0.667,0.0,9.14
1702042203813.895,-0.667,0.0,9.14
1702042203813.91,-0.628,-0.039,9.101
1702042203813.925,-0.667,-0.039,9.14
1702042203813.94,-0.628,-0.078,9.061
1702042203813.955,-0.549,-0.039,9.101
1702042203813.97,-0.745,0.0,9.101
1702042203813.985,-0.706,-0.039,9.14
1702042203814.0,-0.706,-0.039,9.101
1702042204361.7,-0.628,-0.039,9.101
1702042204361.715,-0.628,-0.039,9.14
1702042204361.73,-0.706,-0.039,9.101
1702042204361.745,-0.549,0.0,9.061
1702042204361.76,-0.667,-0.039,9.061
1702042204361.775,-0.588,-0.078,9.14
1702042204361.79,-0.706,0.0,9.101
1702042204361.805,-0.706,-0.039,9.101
1702042204361.82,-0.706,-0.078,9.14
1702042204361.835,-0.549,0.0,9.061
1702042204361.85,-0.667,-0.078,9.14
1702042204361.865,-0.628,-0.039,9.14
1702042204361.88,-0.628,-0.118,9.14
1702042204361.895,-0.588,0.0,9.14
1702042204361.91,-0.667,-0.078,9.101
1702042204361.925,-0.588,0.0,9.061
1702042204361.94,-0.667,0.0,9.101
1702042204361.955,-0.667,-0.039,9.101
1702042204361.97,-0.628,-0.118,9.101
1702042204361.985,-0.628,-0.078,9.14
1702042204362.0,-0.588,-0.039,9.101
1702042206466.7,-0.902,0.039,9.218
1702042206466.715,-0.667,-0.392,9.101
1702042206466.73,-0.51,0.118,8.944
1702042206466.745,-0.902,0.0,9.14
1702042206466.76,-0.51,0.118,9.179
1702042206466.775,-0.863,-0.039,9.022
1702042206466.79,-0.941,0.0,9.611
1702042206466.805,-0.981,-0.588,9.414
1702042206466.82,-0.078,0.353,8.826
1702042206466.835,-0.745,0.392,9.375
1702042206466.85,0.471,-0.078,8.512
1702042206466.865,-1.02,-0.314,9.964
1702042206466.88,-0.157,0.118,8.787
1702042206466.895,-0.471,-0.353,9.885
1702042206466.91,0.118,0.235,8.708
1702042206466.925,0.275,0.628,9.336
1702042206466.94,-0.314,-0.235,9.022
1702042206466.955,0.353,-0.471,9.14
1702042206466.97,0.314,0.078,8.826
1702042206466.985,0.039,-0.078,9.14
1702042206467.0,-0.471,-0.039,9.101
1702042207018.7,-0.51,0.0,9.14
1702042207018.715,-0.706,-0.157,9.022
1702042207018.73,-0.588,0.0,9.218
1702042207018.745,-0.706,-0.157,9.061
1702042207018.76,-0.549,-0.039,9.179
1702042207018.775,-0.51,-0.118,9.061
1702042207018.79,-0.824,0.0,9.061
1702042207018.805,-1.098,-0.039,9.14
1702042207018.82,-0.902,-0.078,9.061
1702042207018.835,-1.608,-0.196,9.218
1702042207018.85,-1.608,0.118,8.983
1702042207018.865,-1.726,-0.118,9.061
1702042207018.88,-1.765,-0.353,9.101
1702042207018.895,-1.687,0.039,8.904
1702042207018.91,-1.687,0.039,9.257
1702042207018.925,-1.294,-0.157,9.179
1702042207018.94,-1.177,-0.039,9.022
1702042207018.955,-1.059,0.0,8.865
1702042207018.97,-0.785,0.275,9.179
1702042207018.985,-1.02,0.275,8.708
1702042207019.0,-1.059,-0.392,9.493
1702042207024.7,-0.667,0.0,9.101
1702042207024.715,-0.549,-0.078,9.061
1702042207024.73,-0.706,-0.039,9.101
1702042207024.745,-0.628,-0.039,9.061
1702042207024.76,-0.588,-0.039,9.061
1702042207024.775,-0.706,-0.039,9.061
1702042207024.79,-0.588,-0.118,9.179
1702042207024.805,-0.745,-0.039,9.101
1702042207024.82,-0.51,-0.039,9.14
1702042207024.835,-0.628,0.0,9.101
1702042207024.85,-0.549,-0.118,9.14
1702042207024.865,-0.628,0.0,9.061
1702042207024.88,-0.588,-0.039,9.101
1702042207024.895,-0.667,-0.039,9.061
1702042207024.91,-0.628,-0.039,9.101
1702042207024.925,-0.628,-0.039,9.061
1702042207024.94,-0.667,0.0,9.101
1702042207024.955,-0.628,-0.039,9.061
1702042207024.97,-0.706,-0.039,9.061
1702042207024.985,-0.667,-0.039,9.101
1702042207025.0,-0.667,-0.039,9.101
1702042207562.7,-0.667,-0.039,9.14
1702042207562.715,-0.588,-0.039,9.061
1702042207562.73,-0.706,-0.078,9.14
1702042207562.745,-0.588,-0.039,9.101
1702042207562.76,-0.706,-0.039,9.061
1702042207562.775,-0.588,-0.039,9.101
1702042207562.79,-0.628,-0.039,9.061
1702042207562.805,-0.628,-0.078,9.14
1702042207562.82,-0.628,-0.039,9.101
1702042207562.835,-0.628,-0.039,9.061
1702042207562.85,-0.628,-0.039,9.101
1702042207562.865,-0.628,0.0,9.101
1702042207562.88,-0.628,-0.039,9.101
1702042207562.895,-0.745,-0.039,9.101
1702042207562.91,-0.706,-0.039,8.983
1702042207562.925,-0.628,0.039,9.061
1702042207562.94,-0.588,-0.039,9.101
1702042207562.955,-0.628,0.0,9.101
1702042207562.97,-0.628,-0.078,9.14
1702042207562.985,-0.588,-0.039,9.14
1702042207563.0,-0.628,0.0,9.101
1702042208066.7,-0.667,0.0,9.101
1702042208066.715,-0.628,-0.078,9.101
1702042208066.73,-0.745,0.0,9.14
1702042208066.745,-0.628,-0.039,9.14
1702042208066.76,-0.667,0.0,9.061
1702042208066.775,-0.667,-0.078,9.14
1702042208066.79,-0.628,0.0,9.101
1702042208066.805,-0.667,-0.039,9.14
1702042208066.82,-0.549,-0.039,9.14
1702042208066.835,-0.745,0.0,9.022
1702042208066.85,-0.667,-0.039,9.061
1702042208066.865,-0.667,-0.039,9.101
1702042208066.88,-0.588,-0.118,9.101
1702042208066.895,-0.706,0.0,9.061
1702042208066.91,-0.588,-0.039,8.983
1702042208066.925,-0.667,0.039,9.022
1702042208066.94,-0.745,-0.039,9.061
1702042208066.955,-0.549,0.039,9.101
1702042208066.97,-0.667,-0.039,9.14
1702042208066.985,-0.628,0.039,9.061
1702042208067.0,-0.667,-0.039,9.101
1702042208617.7,-0.588,0.0,9.101
1702042208617.715,-0.588,0.0,9.101
1702042208617.73,-0.588,-0.039,9.101
1702042208617.745,-0.628,-0.078,9.179
1702042208617.76,-0.667,-0.039,9.101
1702042208617.775,-0.549,-0.078,9.14
1702042208617.79,-0.667,-0.078,9.101
1702042208617.805,-0.628,-0.039,9.101
1702042208617.82,-0.628,0.0,9.061
1702042208617.835,-0.628,-0.078,9.14
1702042208617.85,-0.628,0.0,9.022
1702042208617.865,-0.667,-0.039,9.022
1702042208617.88,-0.51,-0.078,9.061
1702042208617.895,-0.706,-0.078,9.061
1702042208617.91,-0.588,-0.078,9.101
1702042208617.925,-0.706,0.0,9.14
1702042208617.94,-0.667,0.0,9.022
1702042208617.955,-0.628,0.039,9.061
1702042208617.97,-0.588,0.0,9.14
1702042208617.985,-0.628,0.0,9.101
1702042208618.0,-0.628,-0.039,9.101
1702042209165.7,-0.588,-0.078,9.101
1702042209165.715,-0.706,-0.039,9.14
1702042209165.73,-0.628,-0.078,9.101
1702042209165.745,-0.706,-0.078,9.14
1702042209165.76,-0.745,-0.039,9.101
1702042209165.775,-0.588,0.0,9.061
1702042209165.79,-0.588,0.0,9.14
1702042209165.805,-0.51,-0.078,9.022
1702042209165.82,-0.667,0.0,9.14
1702042209165.835,-0.628,-0.157,9.022
1702042209165.85,-0.588,0.0,9.101
1702042209165.865,-0.628,-0.078,9.14
1702042209165.88,-0.667,0.0,9.14
1702042209165.895,-0.588,0.039,9.061
1702042209165.91,-0.628,-0.078,9.101
1702042209165.925,-0.706,-0.039,9.14
1702042209165.94,-0.549,-0.078,9.101
1702042209165.955,-0.628,-0.078,9.14
1702042209165.97,-0.588,-0.118,9.14
1702042209165.985,-0.706,-0.039,9.14
1702042209166.0,-0.588,-0.078,9.101
1702042209187.7,-0.667,-0.039,9.101
1702042209187.715,-0.667,-0.078,9.14
1702042209187.73,-0.667,-0.078,9.061
1702042209187.745,-0.667,0.039,9.061
1702042209187.76,-0.667,-0.078,9.101
1702042209187.775,-0.667,0.039,9.14
1702042209187.79,-0.549,-0.078,9.101
1702042209187.805,-0.706,0.0,9.061
1702042209187.82,-0.628,-0.078,9.101
